,step,train,eval
0,100.0,1.4558000564575195,1.3641855716705322
1,200.0,1.3371000289916992,1.2936686277389526
2,300.0,1.2728999853134155,1.2548391819000244
3,400.0,1.236299991607666,1.2073421478271484
4,500.0,1.2043999433517456,1.16890287399292
5,600.0,1.1727999448776245,1.1476248502731323
6,700.0,1.122499942779541,1.1157853603363037
7,800.0,1.1332999467849731,1.1131783723831177
8,900.0,1.095900058746338,1.0891139507293701
9,1000.0,1.0917999744415283,1.0819873809814453
10,1100.0,1.0647000074386597,1.132062315940857
11,1200.0,0.9351000189781189,1.0741099119186401
12,1300.0,0.795799970626831,1.0700751543045044
13,1400.0,0.8597999811172485,1.046316146850586
14,1500.0,0.8593999743461609,1.0384619235992432
15,1600.0,0.7836999893188477,1.0264008045196533
16,1700.0,0.8069999814033508,1.0130113363265991
17,1800.0,0.7792999744415283,1.0046626329421997
18,1900.0,0.7861999869346619,0.9976890087127686
19,2000.0,0.7567999958992004,0.9815758466720581
20,2100.0,0.7702999711036682,0.9786171913146973
21,2200.0,0.7835000157356262,0.969719409942627
22,2300.0,0.7560000419616699,0.9696000218391418
23,2400.0,0.754300057888031,0.971245288848877
24,2500.0,0.752800473976135,0.9685239791870117
25,2600.0,0.7539000511169434,0.9741125106811523
26,2700.0,0.7482000074386597,0.9724500179290771
27,2800.0,0.7247999906539917,0.9863213300704956
28,2900.0,0.7145000109672546,0.9984232783317566
29,3000.0,0.7195999622344971,0.9918377995491028
30,3100.0,0.7094999551773071,1.0028523206710815
31,3200.0,0.7106000361442566,1.0091328620910645
32,3300.0,0.6998000144958496,1.005695510864258